Original	UI	MSH
nail-patella syndrome	D009261	Nail-Patella Syndrome
nance-horan syndrome		NA
nanophthalmos 2		NA
nasopharyngeal carcinoma		NA
polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy		NA
naxos disease		NA
nemaline myopathy 1		NA
nemaline myopathy 2		NA
nemaline myopathy 3		NA
nemaline myopathy 4		NA
nemaline myopathy 5		NA
nemaline myopathy 6		NA
nemaline myopathy 7		NA
nephrogenic syndrome of inappropriate antidiuresis		NA
nephrolithiasis, x-linked recessive, with renal failure		NA
nephronophthisis, familial juvenile		NA
nephronophthisis 2		NA
nephronophthisis 3		NA
nephronophthisis 4		NA
nephronophthisis 7		NA
nephropathy with pretibial epidermolysis bullosa and deafness		NA
nephrosis, congenital		NA
nephrotic syndrome, idiopathic, steroid-resistant		NA
netherton syndrome	D056770	Netherton Syndrome
neurodegeneration due to cerebral folate transport deficiency		NA
pantothenate kinase-associated neurodegeneration	D006211	Pantothenate Kinase-Associated Neurodegeneration
neurofibromatosis-noonan syndrome		NA
neurofibromatosis, familial spinal		NA
neurofibromatosis 1	D009456	Neurofibromatosis 1
neurofibromatosis 2	D016518	Neurofibromatosis 2
myopathy, central core	D020512	Myopathy, Central Core
spinal muscular atrophy with respiratory distress 1		NA
charcot-marie-tooth disease, type 4e		NA
neuronopathy, distal hereditary motor, type iib		NA
neuronopathy, distal hereditary motor, type viib		NA
neuropathy, hereditary motor and sensory, russe type		NA
neuropathy, hereditary sensory and autonomic, type iib		NA
neuropathy, hereditary sensory, with spastic paraplegia, autosomal recessive		NA
neutral lipid storage disease with myopathy		NA
cyclic neutropenia		NA
neutropenia, severe congenital, x-linked		NA
neutrophil immunodeficiency syndrome		NA
neutrophilia, hereditary		NA
newfoundland rod-cone dystrophy		NA
niemann-pick disease, type a	D052536	Niemann-Pick Disease, Type A
niemann-pick disease, type b	D052537	Niemann-Pick Disease, Type B
niemann-pick disease, type c2		NA
niemann-pick disease, type c	D052556	Niemann-Pick Disease, Type C
night blindness, congenital stationary, autosomal dominant 1		NA
night blindness, congenital stationary, autosomal dominant 2		NA
night blindness, congenital stationary, autosomal dominant 3		NA
nijmegen breakage syndrome-like disorder		NA
nijmegen breakage syndrome	D049932	Nijmegen Breakage Syndrome
distal myopathy, nonaka type		NA
noonan syndrome	D009634	Noonan Syndrome
noonan syndrome 3		NA
noonan syndrome 4		NA
noonan syndrome 5		NA
noonan syndrome 6		NA
norrie disease		NA
lecithin acyltransferase deficiency		NA
nystagmus 1, congenital, x- linked		NA
proopiomelanocortin deficiency		NA
occipital horn syndrome		NA
ocular albinism type 1		NA
oculoauricular syndrome		NA
oculodentodigital dysplasia		NA
oculodentodigital dysplasia, autosomal recessive		NA
muscular dystrophy, oculopharyngeal	D039141	Muscular Dystrophy, Oculopharyngeal
hypophosphatasia, adult		NA
odontoonychodermal dysplasia		NA
oguchi disease		NA
osteogenesis imperfecta, type 2a		NA
osteogenesis imperfecta, type 3		NA
osteogenesis imperfecta, type 4		NA
oligodontia-colorectal cancer syndrome		NA
reticuloendotheliosis, familial, with eosinophilia		NA
omodysplasia type 1		NA
opitz-kaveggia syndrome		NA
opitz gbbb syndrome, x-linked		NA
optic atrophy 7		NA
optic atrophy, autosomal dominant	D029241	Optic Atrophy, Autosomal Dominant
optic atrophy and cataract, autosomal dominant		NA
optic atrophy 1 and deafness		NA
microphthalmia, syndromic 3		NA
optic nerve hypoplasia, bilateral		NA
orofaciodigital syndrome type1		NA
orofacial cleft 10		NA
orofacial cleft 11		NA
orofacial cleft 5		NA
zlotogora-ogur syndrome		NA
oroticaciduria 1		NA
orthostatic intolerance	D054971	Orthostatic Intolerance
osseous heteroplasia, progressive		NA
osteoarthritis with mild chondrodysplasia		NA
osteogenesis imperfecta	D010013	Osteogenesis Imperfecta
osteogenesis imperfecta, type ix		NA
osteogenesis imperfecta, type 5		NA
osteogenesis imperfecta, type 7		NA
osteogenesis imperfecta, type viii		NA
osteoglophonic dwarfism		NA
polyostotic osteolytic dysplasia, hereditary expansile		NA
osteopathia striata cranial sclerosis		NA
osteopetrosis autosomal dominant type 1		NA
osteopetrosis	D010022	Osteopetrosis
osteopetrosis, autosomal recessive 1		NA
osteopetrosis with renal tubular acidosis		NA
osteopetrosis, autosomal recessive 5		NA
osteopetrosis, autosomal recessive 6		NA
osteopetrosis, autosomal recessive 7		NA
buschke-ollendorff syndrome		NA
osteoporosis-pseudoglioma syndrome		NA
osteosarcoma	D012516	Osteosarcoma
otofaciocervical syndrome		NA
oto-palato-digital syndrome type 1		NA
oto-palato-digital syndrome, type 2		NA
ovarian hyperstimulation syndrome	D016471	Ovarian Hyperstimulation Syndrome
pachyonychia congenita	D053549	Pachyonychia Congenita
pallister-hall syndrome	D054975	Pallister-Hall Syndrome
palmoplantar keratoderma, nonepidermolytic		NA
pancreatic agenesis, congenital		NA
melanoma-pancreatic cancer syndrome		NA
panhypopituitarism x-linked		NA
papillon-lefevre disease	D010214	Papillon-Lefevre Disease
papillorenal syndrome		NA
carney-stratakis syndrome		NA
paraganglioma	D010235	Paraganglioma
paramyotonia congenita of von eulenburg		NA
parastremmatic dwarfism		NA
parathyroid neoplasms	D010282	Parathyroid Neoplasms
parietal foramina		NA
parietal foramina 2		NA
parietal foramina with cleidocranial dysplasia		NA
sturge-weber syndrome	D013341	Sturge-Weber Syndrome
parkinson disease 4, autosomal dominant lewy body		NA
parkinson disease 6, autosomal recessive early-onset		NA
parkinson disease 7, autosomal recessive early-onset		NA
parkinson disease 9		NA
parkinsonism-dystonia, infantile		NA
paroxysmal extreme pain disorder		NA
hemoglobinuria, paroxysmal	D006457	Hemoglobinuria, Paroxysmal
paroxysmal nonkinesigenic dyskinesia		NA
partington x-linked mental retardation syndrome		NA
peripheral demyelinating neuropathy, central dysmyelination, waardenburg syndrome, and hirschsprung disease		NA
peeling skin syndrome, acral type		NA
pelger-huet anomaly	D010381	Pelger-Huet Anomaly
pelizaeus-merzbacher disease	D020371	Pelizaeus-Merzbacher Disease
pendred syndrome		NA
pentosuria		NA
phosphoenolpyruvate carboxykinase 2 deficiency		NA
periodic fever, familial, autosomal dominant		NA
aggressive periodontitis	D010520	Aggressive Periodontitis
heterotopia, periventricular, autosomal recessive		NA
peroxisomal acyl-coa oxidase deficiency		NA
zellweger syndrome	D015211	Zellweger Syndrome
peroxisome biogenesis disorders		NA
refsum disease, infantile	D052919	Refsum Disease, Infantile
perry syndrome		NA
persistent mullerian duct syndrome		NA
krause-kivlin syndrome		NA
peters anomaly		NA
peutz-jeghers syndrome	D010580	Peutz-Jeghers Syndrome
pfeiffer type acrocephalosyndactyly		NA
telomeric 22q13 monosomy syndrome		NA
phosphoglycerate dehydrogenase deficiency		NA
phosphoglycerate kinase 1 deficiency		NA
phosphoribosylpyrophosphate synthetase superactivity		NA
glycogen storage disease ixb		NA
phosphoserine aminotransferase deficiency		NA
pick disease of the brain	D020774	Pick Disease of the Brain
piebaldism	D016116	Piebaldism
pierson syndrome		NA
pigmented nodular adrenocortical disease, primary, 1		NA
pigmented nodular adrenocortical disease, primary, 2		NA
pigmented paravenous chorioretinal atrophy		NA
cortical dysplasia-focal epilepsy syndrome		NA
pitt-hopkins syndrome		NA
acth-secreting pituitary adenoma	D049913	ACTH-Secreting Pituitary Adenoma
prolactinoma	D015175	Prolactinoma
pituitary hormone deficiency, combined, 1		NA
pituitary hormone deficiency, combined, 2		NA
winkelman bethge pfeiffer syndrome		NA
pituitary hormone deficiency, combined, 4		NA
plasminogen activator inhibitor-1 deficiency		NA
platelet disorder, familial, with associated myeloid malignancy		NA
platelet glycoprotein iv deficiency		NA
platyspondylic lethal skeletal dysplasia, torrance type		NA
pleuropulmonary blastoma		NA
pneumothorax, primary spontaneous		NA
poikiloderma with neutropenia		NA
polycystic kidney, autosomal recessive	D017044	Polycystic Kidney, Autosomal Recessive
polycystic kidney diseases	D007690	Polycystic Kidney Diseases
polycystic liver disease		NA
polycythemia vera	D011087	Polycythemia Vera
polydactyly, preaxial 4		NA
polyhydramnios, megalencephaly, and symptomatic epilepsy		NA
polymicrogyria with optic nerve hypoplasia		NA
polymicrogyria, bilateral frontoparietal		NA
polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract		NA
polyposis syndrome, hereditary mixed, 2		NA
juvenile polyposis syndrome		NA
pontocerebellar hypoplasia type 1		NA
pontocerebellar hypoplasia type 6		NA
popliteal pterygium syndrome		NA
familial porencephaly	D065708	Porencephaly
porokeratosis, disseminated superficial actinic 1		NA
porphyria, south african type		NA
porphyria, acute intermittent	D017118	Porphyria, Acute Intermittent
porphyria, erythropoietic	D017092	Porphyria, Erythropoietic
porphyria cutanea tarda	D017119	Porphyria Cutanea Tarda
prader-willi syndrome	D011218	Prader-Willi Syndrome
precocious puberty, central		NA
familial testotoxicosis		NA
pre-eclampsia	D011225	Pre-Eclampsia
primary ovarian insufficiency	D016649	Primary Ovarian Insufficiency
premature ovarian failure 2b		NA
premature ovarian failure 3		NA
ovarian dysgenesis 2		NA
premature ovarian failure 5		NA
premature ovarian failure 6		NA
premature ovarian failure 7		NA
premature ovarian failure 2a		NA
primary lateral sclerosis juvenile		NA
spongiform encephalopathy with neuropsychiatric features		NA
progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 2		NA
progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 4		NA
progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 5		NA
progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 1		NA
progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 3		NA
progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal recessive		NA
progressive familial heart block, type ib		NA
drug metabolism, poor, cyp2c19-related		NA
prolidase deficiency	D056732	Prolidase Deficiency
encephaloclastic proliferative vasculopathy		NA
properdin deficiency, x-linked		NA
propionic acidemia	D056693	Propionic Acidemia
low molecular weight proteinuria with hypercalciuria and nephrocalcinosis		NA
proteus syndrome	D016715	Proteus Syndrome
protoporphyria, erythropoietic	D046351	Protoporphyria, Erythropoietic
proud syndrome		NA
pseudoachondroplasia		NA
17-hydroxysteroid dehydrogenase deficiency		NA
pseudohypoaldosteronism	D011546	Pseudohypoaldosteronism
pseudopseudohypoparathyroidism	D011556	Pseudopseudohypoparathyroidism
pseudovaginal perineoscrotal hypospadias		NA
pseudoxanthoma elasticum-like disorder with multiple coagulation factor deficiency		NA
pulmonary alveolar microlithiasis		NA
hypertension, pulmonary	D006976	Hypertension, Pulmonary
pycnodysostosis	D058631	Pycnodysostosis
myd88 deficiency		NA
pyogenic arthritis, pyoderma gangrenosum, and acne		NA
pyridoxamine 5-prime-phosphate oxidase deficiency		NA
pyropoikilocytosis, hereditary		NA
pyruvate carboxylase deficiency disease	D015324	Pyruvate Carboxylase Deficiency Disease
pyruvate dehydrogenase complex deficiency disease	D015325	Pyruvate Dehydrogenase Complex Deficiency Disease
pyruvate dehydrogenase e2 deficiency		NA
pyruvate dehydrogenase phosphatase deficiency		NA
pyruvate kinase deficiency of red cells		NA
donohue syndrome	D056731	Donohue Syndrome
radioulnar synostosis with amegakaryocytic thrombocytopenia		NA
raine syndrome		NA
rapadilino syndrome		NA
rapp-hodgkin syndrome		NA
refsum disease	D012035	Refsum Disease
hereditary renal agenesis		NA
renal cysts and diabetes syndrome		NA
glycosuria, renal	D006030	Glycosuria, Renal
renal tubular acidosis, distal, with progressive nerve deafness		NA
renal tubular acidosis, distal, with hemolytic anemia		NA
renal tubular acidosis, distal, autosomal recessive		NA
renal tubular acidosis, proximal, with ocular abnormalities and mental retardation		NA
renpenning syndrome 1		NA
tight skin contracture syndrome, lethal		NA
reticular dysgenesis		NA
retinal cone dystrophy 3a		NA
retinal cone dystrophy 3b		NA
retinal cone dystrophy 4		NA
late-onset retinal degeneration		NA
microphthalmia, syndromic 5		NA
retinitis pigmentosa 12		NA
retinitis pigmentosa 1		NA
retinitis pigmentosa 10		NA
retinitis pigmentosa 11		NA
retinitis pigmentosa 13		NA
retinitis pigmentosa 14		NA
retinitis pigmentosa 17		NA
retinitis pigmentosa 18		NA
retinitis pigmentosa 19		NA
retinitis pigmentosa 2		NA
retinitis pigmentosa 25		NA
retinitis pigmentosa 26		NA
retinitis pigmentosa	D012174	Retinitis Pigmentosa
retinitis pigmentosa 3		NA
retinitis pigmentosa 30		NA
retinitis pigmentosa 31		NA
retinitis pigmentosa 33		NA
retinitis pigmentosa 35		NA
retinitis pigmentosa 36		NA
retinitis pigmentosa 37		NA
retinitis pigmentosa 4		NA
retinitis pigmentosa 41		NA
retinitis pigmentosa 42		NA
retinitis pigmentosa 7		NA
retinitis pigmentosa 9		NA
leber congenital amaurosis 14		NA
leber congenital amaurosis 4		NA
leber congenital amaurosis 3		NA
retinitis pigmentosa, x-linked, and sinorespiratory infections, with or without deafness		NA
retinoblastoma	D012175	Retinoblastoma
exudative vitreoretinopathy 1		NA
retinoschisis	D041441	Retinoschisis
rett syndrome	D015518	Rett Syndrome
revesz debuse syndrome		NA
rhabdoid tumor predisposition syndrome 2		NA
rhabdoid tumor predisposition syndrome 1		NA
rhabdomyosarcoma, alveolar	D018232	Rhabdomyosarcoma, Alveolar
rhabdomyosarcoma, embryonal	D018233	Rhabdomyosarcoma, Embryonal
rhizomelic chondrodysplasia punctata, type 1		NA
rhizomelic chondrodysplasia punctata, type 3		NA
ribose 5-phosphate isomerase deficiency		NA
vitamin d hydroxylation-deficient rickets, type 1b		NA
vitamin d-dependent rickets, type 2a		NA
riddle syndrome		NA
ring dermoid of cornea		NA
rippling muscle disease, 1		NA
roberts syndrome		NA
robinow syndrome, autosomal recessive		NA
rolandic epilepsy, mental retardation, and speech dyspraxia, x-linked		NA
rothmund-thomson syndrome	D011038	Rothmund-Thomson Syndrome
rubinstein-taybi syndrome	D012415	Rubinstein-Taybi Syndrome
saccharopinuria		NA
acrocephalosyndactylia	D000168	Acrocephalosyndactylia
sialic acid storage disease	D029461	Sialic Acid Storage Disease
sandhoff disease	D012497	Sandhoff Disease
sarcoidosis, early-onset		NA
scaphocephaly, maxillary retrusion, and mental retardation		NA
scapuloperoneal myopathy, x-linked dominant		NA
scapuloperoneal syndrome, neurogenic, kaeser type		NA
schimke immunoosseous dysplasia		NA
schindler disease, type 1		NA
schinzel-giedion syndrome		NA
schneckenbecken dysplasia		NA
schopf-schulz-passarge syndrome		NA
schwannomatosis		NA
severe combined immunodeficiency, autosomal recessive, t cell-negative, b cell-positive, nk cell-negative		NA
sclerosteosis		NA
scott syndrome		NA
sea-blue histiocyte syndrome	D012618	Sea-Blue Histiocyte Syndrome
seborrhea-like dermatitis with psoriasiform elements		NA
seckel syndrome 1		NA
seckel syndrome 2		NA
spondyloepiphyseal dysplasia, congenita		NA
segawa syndrome, autosomal recessive		NA
epilepsy, benign neonatal, 3		NA
senior-loken syndrome 4		NA
senior-loken syndrome 5		NA
senior-loken syndrome 6		NA
bartter syndrome, type 4a		NA
hypopituitarism and septooptic 'dysplasia'		NA
severe combined immunodeficiency due to adenosine deaminase deficiency		NA
severe combined immunodeficiency with microcephaly, growth retardation, and sensitivity to ionizing radiation		NA
severe combined immunodeficiency with sensitivity to ionizing radiation		NA
severe combined immunodeficiency, autosomal recessive, t cell-negative, b cell-negative, nk cell-positive		NA
short qt syndrome 1		NA
short qt syndrome 2		NA
short qt syndrome 3		NA
short rib-polydactyly syndrome	D012779	Short Rib-Polydactyly Syndrome
short rib-polydactyly syndrome, verma-naumoff type		NA
short stature, idiopathic, autosomal		NA
short stature, idiopathic, x-linked		NA
shprintzen golberg craniosynostosis		NA
shwachman syndrome		NA
sick sinus syndrome 1, autosomal recessive		NA
sick sinus syndrome 2, autosomal dominant		NA
silver-russell syndrome	D056730	Silver-Russell Syndrome
spastic paraplegia 17		NA
simpson-golabi-behmel syndrome, type 2		NA
single upper central incisor		NA
sitosterolemia		NA
sjogren-larsson syndrome	D016111	Sjogren-Larsson Syndrome
skeletal defects, genital hypoplasia, and mental retardation		NA
skin fragility-woolly hair syndrome		NA
slowed nerve conduction velocity, autosomal dominant		NA
carcinoma, small cell	D018288	Carcinoma, Small Cell
erythromelalgia	D004916	Erythromelalgia
ischiopatellar dysplasia		NA
strudwick syndrome		NA
smith-lemli-opitz syndrome	D019082	Smith-Lemli-Opitz Syndrome
smith-magenis syndrome	D058496	Smith-Magenis Syndrome
smith-mccort dysplasia		NA
snowflake vitreoretinal degeneration		NA
fundus dystrophy, pseudoinflammatory, of sorsby		NA
sotos syndrome	D058495	Sotos Syndrome
spastic ataxia charlevoix-saguenay type		NA
hereditary spastic paralysis, infantile onset ascending		NA
spastic paraplegia 10, autosomal dominant		NA
spastic paraplegia 11, autosomal recessive		NA
spastic paraplegia 12, autosomal dominant		NA
spastic paraplegia 13, autosomal dominant		NA
spastic paraplegia 15, autosomal recessive		NA
spastic paraplegia 18, autosomal recessive		NA
spastic paraplegia 2, x-linked		NA
spastic paraplegia 26, autosomal recessive		NA
spastic paraplegia 28, autosomal recessive		NA
spastic paraplegia 30, autosomal recessive		NA
spastic paraplegia 31, autosomal dominant		NA
spastic paraplegia 33, autosomal dominant		NA
spastic paraplegia 39, autosomal recessive		NA
spastic paraplegia 3, autosomal dominant		NA
spastic paraplegia 4, autosomal dominant		NA
spastic paraplegia 42, autosomal dominant		NA
spastic paraplegia 44, autosomal recessive		NA
spastic paraplegia type 5a, recessive		NA
spastic paraplegia 6, autosomal dominant		NA
spastic paraplegia 7, autosomal recessive		NA
spastic paraplegia 8, autosomal dominant		NA
specific granule deficiency		NA
azoospermia, nonobstructive		NA
spermatogenic failure 7		NA
spermatogenic failure, nonobstructive, y-linked		NA
spherocytosis, type 5		NA
spherocytosis, type 1		NA
spherocytosis, type 3		NA
spherocytosis, type 4		NA
bulbospinal neuronopathy, x-linked recessive		NA
spinal muscular atrophies of childhood	D014897	Spinal Muscular Atrophies of Childhood
spinal muscular atrophy 4		NA
spinal muscular atrophy, distal, autosomal recessive, 4		NA
spinal muscular atrophy, distal, congenital nonprogressive		NA
spinal muscular atrophy, distal, x-linked 3		NA
spinal muscular atrophy, proximal, adult, autosomal dominant		NA
arthrogryposis multiplex congenita, distal, x-linked		NA
spinocerebellar ataxia 10		NA
spinocerebellar ataxia 11		NA
spinocerebellar ataxia 12		NA
spinocerebellar ataxia 13		NA
spinocerebellar ataxia 14		NA
spinocerebellar ataxia 15		NA
spinocerebellar ataxia 17		NA
spinocerebellar ataxia 23		NA
spinocerebellar ataxia 27		NA
spinocerebellar ataxia 28		NA
spinocerebellar ataxia 29		NA
spinocerebellar ataxia 31		NA
spinocerebellar ataxia, autosomal recessive 5		NA
spinocerebellar ataxia, autosomal recessive 8		NA
spinocerebellar ataxia, autosomal recessive, with axonal neuropathy		NA
spinocerebellar ataxia, x-linked 1		NA
split-hand/foot malformation 4		NA
split-hand/foot malformation 6		NA
spondylo-megaepiphyseal-metaphyseal dysplasia		NA
spondylocarpotarsal synostosis		NA
spondylocheirodysplasia, ehlers-danlos syndrome-like		NA
spondyloepimetaphyseal dysplasia, matrilin-3 related		NA
spondyloepimetaphyseal dysplasia, aggrecan type		NA
spondyloepimetaphyseal dysplasia, missouri type		NA
arthropathy, progressive pseudorheumatoid, of childhood		NA
spondyloepiphyseal dysplasia tarda, x-linked	D010009	Osteochondrodysplasias
spondyloepiphyseal dysplasia, kimberley type		NA
spondylometaepiphyseal dysplasia, short limb-hand type		NA
spondylometaphyseal dysplasia, kozlowski type		NA
carcinoma, squamous cell of head and neck		NA
toe syndactyly, telecanthus, and anogenital and renal malformations		NA
stargardt disease 3		NA
stargardt disease 4		NA
steatocystoma multiplex	D062685	Steatocystoma Multiplex
stickler syndrome, type i, nonsyndromic ocular		NA
stickler syndrome, type 1		NA
stickler syndrome, type 2		NA
stiff skin syndrome		NA
stocco dos santos syndrome		NA
striatal degeneration, autosomal dominant		NA
striatonigral degeneration infantile		NA
stuve-wiedemann syndrome		NA
succinic semialdehyde dehydrogenase deficiency		NA
succinyl-coa:3-oxoacid coa transferase deficiency		NA
sucrase-isomaltase deficiency, congenital		NA
sudden infant death with dysgenesis of the testes syndrome		NA
sulfite oxidase deficiency		NA
progressive supranuclear palsy atypical		NA
aortic stenosis, supravalvular	D021921	Aortic Stenosis, Supravalvular
surfactant metabolism dysfunction, pulmonary, 1		NA
surfactant metabolism dysfunction, pulmonary, 2		NA
surfactant metabolism dysfunction, pulmonary, 3		NA
surfactant metabolism dysfunction, pulmonary, 4		NA
sveinsson chorioretinal atrophy		NA
cushing's symphalangism		NA
syndactyly, type 3		NA
syndactyly, type iv		NA
syndactyly, type v		NA
synpolydactyly 2		NA
synpolydactyly 1		NA
t-cell immunodeficiency, congenital alopecia and nail dystrophy		NA
tangier disease	D013631	Tangier Disease
tarp syndrome		NA
tarsal carpal coalition syndrome		NA
telangiectasia, hereditary hemorrhagic	D013683	Telangiectasia, Hereditary Hemorrhagic
osler-rendu-weber syndrome 2		NA
tetra-amelia autosomal recessive		NA
tetralogy of fallot	D013771	Tetralogy of Fallot
alpha-thalassemia	D017085	alpha-Thalassemia
thanatophoric dysplasia, type 1		NA
thanatophoric dysplasia, type 2		NA
thiamine responsive megaloblastic anemia syndrome		NA
basal ganglia disease, biotin-responsive		NA
thrombocythemia, essential	D013920	Thrombocythemia, Essential
absent radii and thrombocytopenia		NA
congenital amegakaryocytic thrombocytopenia		NA
antithrombin iii deficiency	D020152	Antithrombin III Deficiency
heparin cofactor ii deficiency		NA
congenital thrombotic disease, due to protein c deficiency		NA
purpura, thrombotic thrombocytopenic	D011697	Purpura, Thrombotic Thrombocytopenic
thyroid dyshormonogenesis 6		NA
thyroid cancer, papillary		NA
thyroid dyshormonogenesis 1		NA
thyroid dyshormonogenesis 2a		NA
thyroid dyshormonogenesis 3		NA
thyroid dyshormonogenesis 4		NA
thyroid dyshormonogenesis 5		NA
thyroid hormone metabolism, abnormal		NA
thyroid hormone resistance, generalized, autosomal dominant		NA
thyroid hormone resistance, generalized, autosomal recessive		NA
thyroid hormone resistance, selective pituitary		NA
tietz syndrome		NA
timothy syndrome		NA
tn syndrome		NA
tooth agenesis, selective, 3		NA
tooth agenesis, selective, 6		NA
tooth agenesis, selective, x-linked, 1		NA
tourette syndrome	D005879	Tourette Syndrome
townes-brocks syndrome		NA
transaldolase deficiency		NA
transient bullous dermolysis of the newborn		NA
transposition of the great arteries, dextro-looped 1		NA
mandibulofacial dysostosis	D008342	Mandibulofacial Dysostosis
mandibulofacial dysostosis, treacher collins type, autosomal recessive		NA
trehalase deficiency		NA
trichorhinophalangeal syndrome, type iii		NA
trichotillomania	D014256	Trichotillomania
trimethylaminuria		NA
hecht syndrome		NA
spastic paraplegia 20, autosomal recessive		NA
tumoral calcinosis, normophosphatemic, familial		NA
tumoral calcinosis, hyperphosphatemic, familial		NA
keratosis palmoplantaris with esophageal cancer		NA
tyrosine kinase 2 deficiency		NA
tyrosinemias	D020176	Tyrosinemias
scleroatonic muscular dystrophy		NA
al awadi syndrome		NA
ulnar-mammary syndrome		NA
lipoid proteinosis of urbach and wiethe	D008065	Lipoid Proteinosis of Urbach and Wiethe
urocanase deficiency		NA
urofacial syndrome		NA
usher syndrome, type 1b		NA
usher syndrome, type 1c		NA
usher syndrome, type 1d		NA
usher syndrome, type 1f		NA
usher syndrome, type ig		NA
usher syndrome, type 2c		NA
vater association		NA
vacterl association with hydrocephaly, x-linked		NA
van buchem disease type 2		NA
van der woude syndrome		NA
vasculopathy, retinal, with cerebral leukodystrophy		NA
vacterl hydrocephaly		NA
digeorge syndrome	D004062	DiGeorge Syndrome
venous malformations, multiple cutaneous and mucosal		NA
paroxysmal ventricular fibrillation		NA
vertical talus, congenital		NA
vesico-ureteral reflux	D014718	Vesico-Ureteral Reflux
vitamin d hydroxylation-deficient rickets, type 1a		NA
vitamin k-dependent clotting factors, combined deficiency of, 1		NA
vitreoretinochoroidopathy		NA
vlcad deficiency		NA
vohwinkel syndrome, variant form		NA
vohwinkel syndrome		NA
von willebrand disease, platelet type		NA
von willebrand disease, type 1	D056725	von Willebrand Disease, Type 1
von willebrand disease, type 2	D056728	von Willebrand Disease, Type 2
von willebrand disease, type 3	D056729	von Willebrand Disease, Type 3
waardenburg syndrome	D014849	Waardenburg Syndrome
waardenburg syndrome type 2a		NA
waardenburg syndrome, type 2d		NA
waardenburg syndrome type 2		NA
waardenburg syndrome, type 4b		NA
waardenburg syndrome, type 4c		NA
hyaloideoretinal degeneration of wagner		NA
warburg sjo fledelius syndrome		NA
weaver syndrome		NA
weill-marchesani-like syndrome		NA
weill-marchesani syndrome	D056846	Weill-Marchesani Syndrome
welander distal myopathy, swedish type		NA
werner syndrome	D014898	Werner Syndrome
weyers acrofacial dysostosis		NA
whim syndrome		NA
leukokeratosis, hereditary mucosal	D053529	Leukokeratosis, Hereditary Mucosal
wieacker syndrome		NA
wilson-turner x-linked mental retardation syndrome		NA
hepatolenticular degeneration	D006527	Hepatolenticular Degeneration
wiskott-aldrich syndrome	D014923	Wiskott-Aldrich Syndrome
wolcott-rallison syndrome		NA
wolfram syndrome	D014929	Wolfram Syndrome
lysosomal acid lipase deficiency		NA
woodhouse sakati syndrome		NA
wrinkly skin syndrome		NA
xanthinuria, type i		NA
xeroderma pigmentosum	D014983	Xeroderma Pigmentosum
xeroderma pigmentosum, complementation group b		NA
xeroderma pigmentosum, complementation group c		NA
xeroderma pigmentosum, complementation group d		NA
xeroderma pigmentosum, complementation group e		NA
xeroderma pigmentosum, complementation group g		NA
xeroderma pigmentosum, complementation group f		NA
xeroderma pigmentosum, variant type		NA
xfe progeroid syndrome		NA
